Schoolid	adjacentschool	parkinglotc	parkinglotb	altparking	bikeracks	segments	Walkscore	LICOATda	SamplingQuadrant	sidewalkboth	sidewalkbothperc	sidewalkone	sidewalkoneperc	parkingsignboth	parkingsignbothperc	parkingsignone	parkingsignoneperc	mountableboth	mountablebothperc	mountableone	mountableoneperc	speedlimitsign	speedlimitsignperc	speedlimit40	speedlimit40perc	speedlimit30	speedlimit30perc	marking	markingperc	obstructions	obstructionsperc	dropoffc	dropoffcperc	dropoffb	dropoffbperc	publicspaces	publicspacesperc	graffiti	graffitiperc	garbage	garbageperc	entrance	entranceperc	device	deviceperc	bikeinfra	bikeinfraperc	caroccupant	caroccupantprop	pedcount	pedcountprop	bikecount	bikecountprop	Other	Otherprop	bussed	enrolment	Bussedprop	ActiveT	ActiveTprop	TotalCount	DanBehaCongestion	DanBehaAdultCrossG	DanBehaChildCrossG	DanBehaDrivDoublePark	DanBehaDrivDropOffOppSide	DanBehaDrivBlockView	DanBehaDrivParkBlock	DanBehaDrivNotFollControls	DanBehaDrivBackUp	DanBehaDrivTexting	DanBehaDrivPhone	DanBehaDrivUTurn	DanBehaTruck	DanBehaPedNotFolControlsA	DanBehaPedNotFolControlsC	DanBehaPedNotFolCrossGA	DanBehaPedNotFolCrossGC	DanBehaPedJayWalkA	DanBehaPedJayWalkC	DanBehaPedDeviceA	DanBehaPedDeviceC	DanBehaPedBetParkCarsA	DanBehaPedBetParkCarsC	ActLivClassEnv	CHASEYEAR	City	Newbussedprop	NewActiveT	NewActiveTProp
"CAL100"	1.0	1.0	0.0	1.0	1.0	5.0	48.0	0.10300000000000001	2.0	0.0	0.8	1.0	1.0	0.0	0.0	1.0	0.6	0.0	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.0	0.0	1.0	0.6	0.0	0.0	0.0	0.0	1.0	0.2	1.0	0.6	0.0	0.0	1.0	0.6	0.0	0.2	0.0	0.2	1.0	0.6	50.0	0.43478260869565216	59.0	0.5130434782608696	3.0	0.02608695652173913	3.0	0.02608695652173913	0.0	232.0	0.0	62.0	0.5391304347826087	115.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	2018.0	"CAL"	0.035	65.0	0.5652173913043478
"CAL103"	0.0	1.0	0.0	1.0	1.0	5.0	35.0	0.136	2.0	1.0	1.0	1.0	1.0	0.0	0.2	0.0	0.2	1.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	1.0	0.2	0.0	0.2	0.0	0.0	1.0	0.8	0.0	0.2	0.0	0.0	1.0	0.2	54.0	0.574468085106383	32.0	0.3404255319148936	8.0	0.0851063829787234	0.0	0.0	0.0	184.0	0.0	40.0	0.425531914893617	94.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	2018.0	"CAL"	0.07	40.0	0.425531914893617
"CAL104"	0.0	1.0	0.0	0.0	1.0	11.0	49.0	0.073	4.0	1.0	1.0	1.0	1.0	0.0	0.18181818181818182	0.0	0.2727272727272727	1.0	0.9090909090909091	0.0	0.9090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	1.0	0.09090909090909091	0.0	0.0	1.0	0.09090909090909091	0.0	0.09090909090909091	0.0	0.0	0.0	0.18181818181818182	0.0	0.09090909090909091	0.0	0.09090909090909091	1.0	0.09090909090909091	87.0	0.6541353383458647	43.0	0.3233082706766917	3.0	0.022556390977443608	0.0	0.0	0.0	217.0	0.0	46.0	0.3458646616541353	133.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	3.0	2018.0	"CAL"	0.09	46.0	0.3458646616541353
"CAL107"	1.0	1.0	0.0	0.0	1.0	12.0	46.0	0.32899999999999996	2.0	0.0	0.8333333333333334	1.0	1.0	0.0	0.25	1.0	0.6666666666666666	1.0	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.0	0.0	0.0	0.0	1.0	0.25	1.0	0.25	0.0	0.08333333333333333	1.0	0.6666666666666666	0.0	0.08333333333333333	0.0	0.08333333333333333	1.0	0.08333333333333333	73.0	0.5367647058823529	58.0	0.4264705882352941	5.0	0.03676470588235294	0.0	0.0	0.0	293.0	0.0	63.0	0.4632352941176471	136.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	3.0	2018.0	"CAL"	0.035	63.0	0.4632352941176471
"CAL109"	0.0	1.0	0.0	1.0	1.0	5.0	48.0	0.18899999999999997	2.0	1.0	1.0	1.0	1.0	0.0	0.2	0.0	0.4	1.0	0.6	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6	0.0	0.0	0.0	0.0	1.0	0.2	0.0	0.2	0.0	0.0	1.0	0.6	0.0	0.2	0.0	0.2	0.0	0.0	59.0	0.6344086021505376	34.0	0.3655913978494624	0.0	0.0	0.0	0.0	0.0	250.0	0.0	34.0	0.3655913978494624	93.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	2018.0	"CAL"	0.05	34.0	0.3655913978494624
"CAL113"	0.0	1.0	0.0	1.0	1.0	3.0	51.0	0.068	3.0	0.0	0.6666666666666666	1.0	1.0	0.0	0.3333333333333333	1.0	1.0	1.0	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	0.3333333333333333	1.0	0.6666666666666666	1.0	0.3333333333333333	0.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.0	0.0	1.0	0.3333333333333333	104.0	0.5279187817258884	55.0	0.27918781725888325	27.0	0.13705583756345177	11.0	0.05583756345177665	0.0	543.0	0.0	82.0	0.41624365482233505	197.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	2018.0	"CAL"	0.175	93.0	0.4720812182741117
"CAL122"	1.0	1.0	0.0	1.0	1.0	4.0	53.0	0.04	3.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	1.0	0.5	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	1.0	0.25	1.0	0.5	0.0	0.0	1.0	0.5	48.0	0.22748815165876776	93.0	0.44075829383886256	56.0	0.26540284360189575	14.0	0.06635071090047394	0.0	383.0	0.0	149.0	0.7061611374407583	211.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	2018.0	"CAL"	0.0125	163.0	0.7725118483412322
"CAL124"	0.0	1.0	0.0	0.0	1.0	4.0	72.0	0.09	4.0	0.0	0.75	1.0	1.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	1.0	0.25	1.0	0.5	0.0	0.0	1.0	0.75	1.0	0.5	0.0	0.25	1.0	0.25	51.0	0.6375	29.0	0.3625	0.0	0.0	0.0	0.0	0.0	191.0	0.0	29.0	0.3625	80.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	2018.0	"CAL"	0.07	29.0	0.3625
"CAL13"	0.0	1.0	0.0	0.0	1.0	7.0	37.0	0.092	2.0	0.0	0.42857142857142855	0.0	0.8571428571428571	0.0	0.14285714285714285	0.0	0.2857142857142857	1.0	0.5714285714285714	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	1.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	1.0	0.5714285714285714	0.0	0.0	0.0	0.0	79.0	0.6638655462184874	32.0	0.2689075630252101	6.0	0.05042016806722689	2.0	0.01680672268907563	0.0	319.0	0.0	38.0	0.31932773109243695	119.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	2018.0	"CAL"	0.225	40.0	0.33613445378151263
"CAL131"	0.0	1.0	0.0	0.0	1.0	4.0	82.0	0.106	4.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	1.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	1.0	1.0	1.0	56.0	0.3708609271523179	69.0	0.45695364238410596	22.0	0.1456953642384106	4.0	0.026490066225165563	0.0	237.0	0.0	91.0	0.6026490066225165	151.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	2018.0	"CAL"	0.0125	95.0	0.6291390728476821
