Schoolid	Entropie1000m	City	SUMIntersection	NbrSchools	PropIntersectionKm	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumParkkm	SumReskm	SumComkm	SumIndkm	SumOpenAreakm	SumGouvkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"VAN99"	0.308248657	"VAN"	290.0	1.0	6.7					25.0	15704.68755	14252.61588	0.0	6.610369554	36.45104746	43.06141701	1.677191679	503.3271335	2565.968313	7241.120899	0.031564048	1.418944451	0.01096884	0.050590367	0.006774191	0.158349781	2018.0	4.619009751	0.0	1.283334211	5.902343963	1442.248853	1842.089555	1639.378508	2039.21921	0.0	1.015346517	19.0	1.0	38.0	0.0	4.0	1.0	0.0
"VAN98"	0.502405724	"VAN"	111.0	1.0	4.7					6.0	3662.338933	3525.694756	0.0	4.357581119	19.42073972	23.77832084	1.315580041	188.712227	549.4536567	760.6731639	0.377399939	0.774289571			0.016442302	0.145085573	2018.0	1.321276963	0.0	2.755371835	4.076648797	405.3486391	649.5750587	427.6690679	671.8954875	0.0	0.850071569	1.0	0.0	7.0	0.0	8.0	0.0	0.0
"CAL100"	0.476022834	"CAL"	95.0	3.0	5.2	0.483	2.64			8.0	5173.660389	4917.307744	0.0	3.604641568	14.68879583	18.2934374	1.225714511	467.4205565	42.52072254	347.9880314	0.173247916	0.886721346		0.067091556	0.038123606	0.060530087	2018.0	0.0	2.026068931	0.0	2.026068931	771.5091217	1056.175918	842.1688271	1126.835624	0.0		0.0	0.0	0.0	0.0	3.0	5.0	0.0
"TOR189"	0.470353515	"TOR"	275.0	5.0	8.8	8.843	28.43	11.0	0.354	28.0	18343.59781	17346.6138	0.0	8.071417812	23.02991598	31.10133379	1.51103481	787.1208499	3714.289207	6959.551446	0.300452385	1.041090817		0.003198598	0.039690142	0.11786671	2018.0	2.283975503	1.98512805	1.248622893	5.517726445	1827.018405	2659.068075	1992.336495	2824.386166	0.0	4.729900601	0.0	2.0	4.0	0.0	6.0	8.0	0.0
"VAN97"	0.372107752	"VAN"	167.0	2.0	6.1					23.0	10110.38079	9780.975762	0.0	7.18547135	20.04502285	27.2304942	1.190527662	441.5307013	1337.423753	4362.188352	0.088851755	0.970313833		0.050519192	0.041549952	0.039250908	2018.0	4.61846093	0.0	0.885630156	5.504091086	906.9885043	1209.47576	1012.936629	1315.423884	0.0	2.452186196	8.0	0.0	29.0	0.0	2.0	2.0	0.0
"CAL103"	0.449740751	"CAL"	67.0	2.0	4.5	0.106	0.71			3.0	4602.284915	4383.261343	0.0	0.334390832	14.60102177	14.9354126	1.145249467	388.4069165	25.64276088	311.7447428	0.194542347	0.820338768	0.085827197		0.005501466	0.039039651	2018.0	0.0	1.378780111	0.0	1.378780111	703.8060799	970.250613	762.2287139	1028.673247	0.0		0.0	0.0	0.0	0.0	2.0	2.0	0.0
"CAL104"	0.373495447	"CAL"	69.0	2.0	4.9	0.091	0.65			7.0	3765.33422	3581.57515	0.0	1.818909052	12.19555847	14.01446752	0.991332105	299.7156087	85.56679045	242.3099146	0.100902647	0.80414055	0.01657856	0.009103015	0.027456362	0.033150972	2018.0	0.0	0.693146999	0.342069687	1.035216686	478.9955337	669.046369	522.7932755	712.8441108	0.0		0.0	0.0	0.0	0.0	1.0	4.0	0.0
"VAN95"	0.563828145	"VAN"	114.0	1.0	6.8	0.09	0.53			10.0	7204.526438	6661.395299	0.0	3.910999788	12.96503732	16.87603711	0.811857612	212.0134955	206.5368612	3333.244733	0.123291906	0.504362616			0.023621088	0.028099624	2018.0	5.220334214	0.0	0.144810768	5.365144982	535.5583278	692.715223	622.3262608	779.4831561	0.0	0.326335291	4.0	1.0	12.0	0.0	7.0	0.0	0.0
"CAL107"	0.336103935	"CAL"	74.0	4.0	5.0	0.319	2.16			5.0	4411.298456	4350.393358	0.0	1.308038979	13.48778125	14.79582023	0.978796369	306.9575487	32.77233499	298.6957117	0.119528281	0.795517541	0.002878217		0.019278435	0.04159275	2018.0	0.0	2.349480768	0.0	2.349480768	709.0606565	957.4929293	771.2422068	1019.67448	0.0		0.0	0.0	0.0	0.0	3.0	3.0	0.0
"CAL109"	0.313778606	"CAL"	64.0	3.0	4.2	0.157	1.04			3.0	4923.844816	4720.953977	0.0	0.775224124	14.31639254	15.09161667	1.06706741	348.5963821	59.04667464	414.0569202	0.127463672	0.880951032	6.26499E-4		0.021402083	0.036622977	2018.0	0.0	0.985583448	0.0	0.985583448	775.6889438	1037.82035	853.8521362	1115.983543	0.0		0.0	0.0	0.0	0.0	2.0	2.0	0.0
