Schoolid	Entropie500m	City	SUMIntersection	PropIntersectionKm	NbrSchools	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"TOR189"	0.320918475740531	"TOR"	69.0	8.6	1.0	2.75	34.3299999999999	2.0	0.25	6.0	4396.66900838779	4208.21677784377	0.0	1.25369570512802	6.75772984339235	8.01142554852038	0.384825577593399	71.2139938135595	1259.87734010126	1310.69872660559		0.018459701527491	0.006698153491673	0.043557123929755	0.31611059684315		2018.0	0.504296682035736	0.28183842486587	0.047756697798167	0.833891804699773	588.475455006617	864.746062123108	628.592703412361	904.863310528852	0.0	1.9457777459	0.0	2.0	4.0	0.0	2.0	1.0	0.0
"TOR174"	0.160260857959417	"TOR"	38.0	5.6	1.0	2.057	30.3	1.0	0.147	4.0	3397.07965905998	3426.73706389809	0.0	1.1927032858748	5.59652150393542	6.78922478981022	0.380633343684178	194.073431475652	595.010647453812	440.443941712093	1.67225482E-7	0.034074495274543	1.22283727126E-4	3.60394960559E-4	0.346075978399206		2018.0	0.0	0.0	0.0	0.0	444.945059927615	663.518435072116	488.094372562945	706.667747707446	0.0	0.15606914518	0.0	0.0	0.0	0.0	0.0	2.0	0.0
"TOR170"	0.560571485554479	"TOR"	7.0	2.7	2.0	0.711	27.18	3.0	1.147	3.0	1421.05109196527	1443.08604589978	0.0	2.15966925489049	0.45608159326347	2.61575084815396	0.149534400272465	198.782316348812	104.210562606638	321.008130823981	0.040156340199788	0.024766779890102	0.005848386982821	0.02484294722473	0.053919945274524		2018.0	0.0	0.074293084799472	0.0	0.074293084799472	196.710564174133	292.982978568416	213.985381054451	310.257795448734	0.0		0.0	0.0	0.0	0.0	2.0	0.0	0.0
"TOR198"	0.26233745320405	"TOR"	21.0	5.0	2.0					3.0	1322.97087243808	1291.28413956775	0.0	1.2308996677348	3.0058425724271	4.2367422401619	0.31894440331444	53.5929162575046	297.547600903411	56.5843779519751		0.029527607969184		0.016892985639588	0.272523808860399		2018.0	0.064767548993877	0.0	0.864309678929614	0.92907722792349	154.387408982482	235.75720353321	166.315356668533	247.68515121926	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0
"TOR157"	0.262271934076542	"TOR"	4.0	4.8	1.0					0.0	1229.09134678488	1298.50799339741	0.0	0.673940062993705	0.154423412702373	0.828363475696078	0.111571442290584	172.681763837917	66.1319859535472	419.368071749748			6.20078472651E-4	0.02047416839446	0.090477194288982		2018.0	0.0	0.0	0.0	0.0	220.117124215998	279.436995720889	235.595607442445	294.915478947335	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR156"	0.541370001000586	"TOR"	75.0	9.3	2.0	3.38	42.07	4.0	0.498	6.0	3062.30872744377	2860.35045945835	0.0	2.78062165996376	5.25334555959358	8.03396721955735	0.336847601632661	52.9793533141414	802.274368844884	972.816909660526		0.049862850473243	0.019178082617802	0.053879643027058	0.212467297372648	0.001459726375295	2018.0	1.07933227165933	0.741657717394274	0.0	1.82098998905361	245.478011024427	320.475792357111	261.485652595588	336.483433928272	0.0	0.9348603488	0.0	0.0	1.0	0.0	4.0	0.0	0.0
"TOR152"	0.296508327757321	"TOR"	34.0	5.4	1.0	0.223	3.54	1.0	0.159	3.0	1693.7415503002	1715.63320776197	0.012861066870674	0.971200053850329	5.32388413738679	6.30794525810779	0.359258124670436	67.6604414436625	309.919772696074	348.730334578516		0.017822763192533	0.005718576877183		0.302982271093231	0.032734517531883	2018.0	0.0	0.0	0.596598523289274	0.596598523289274	189.583644227771	255.712262208446	213.585530412284	279.714148392959	0.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0
"TOR206"	0.434206315686655	"TOR"	12.0	5.3	1.0					2.0	1291.87410649689	1255.82097761785	0.0	0.401921985288772	1.84692920875049	2.24885119403926	0.188229083268878	103.648952733172	197.55547845766	295.682469065069	0.060787666620131	0.052552058511365	0.001798586951837	0.003633994762395	0.06945677204081		2018.0	0.0	0.0	0.0	0.0	211.362317196106	294.240069618239	220.018454967573	302.896207389706	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0
"TOR142"	0.605112423752852	"TOR"	11.0	3.9	2.0	0.801	28.5	2.0	0.712	4.0	3339.83857251029	3354.71234152324	0.003491291660336	1.51156429133589	1.29589188870163	2.81094747169786	0.261975361292083	443.157898671614	133.27952351444	1054.15039460309		0.070721542038478	0.002790082000311	0.099687272788121	0.002329732481737	0.086446742133733	2018.0	0.0	0.0	0.0	0.0	501.454498577992	758.363595159601	528.836482522776	785.745579104386	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0
"TOR21"	0.259975180818578	"TOR"	33.0	5.4	2.0			4.0	0.65	2.0	2084.77916839759	2109.19140186073	0.0	1.15531464803481	4.99686096220683	6.15217561024164	0.362229623387103	40.0605655623141	620.095223788609	92.2126386703468		0.027190213918793	6.10981636195E-4	0.022402882550717	0.312025546857793		2018.0	0.0	0.107303111423422	0.0	0.107303111423422	377.268968877479	521.606338974704	392.896043894077	537.233413991302	0.0		0.0	0.0	0.0	0.0	4.0	1.0	1.0
"TOR127"	0.25700449027991	"TOR"	20.0	4.5	1.0			1.0	0.225	2.0	959.968896302328	917.600588410156	0.0	1.66653462498327	2.77823522308796	4.44476984807123	0.303563191196514	0.0	206.175592806872	22.1075136370252		0.045849781328062	0.004555607597017		0.253157803668487		2018.0	0.0	0.0	0.0	0.0	114.190422958361	169.588932458993	121.608760025262	177.007269525894	0.0		0.0	0.0	0.0	0.0	0.0	1.0	2.0
"TOR220"	0.350879248602097	"TOR"	17.0	4.8	1.0	0.625	17.53	2.0	0.561	2.0	756.84237091736	747.362082666635	0.0	1.28959798462869	2.27523398572509	3.56483197035379	0.229170080966816	15.6101260033579	169.793070670134	48.4060824763203	0.007082338943665	0.021984859489416	0.01535480217705	0.005170743720178	0.179577327881247		2018.0	0.0	0.0	0.0	0.0	103.631397828579	145.054129319598	105.992284921246	147.415016412265	0.0		0.0	0.0	0.0	0.0	2.0	0.0	0.0
"TOR118"	0.492768592217509	"TOR"	10.0	4.9	1.0					1.0	2495.99523201055	2507.11600389943	0.0	0.779284933240378	1.27033330065195	2.04961823389233	0.233065820686557	370.105104930066	155.870676413008	677.948316006767	0.003135790360754	0.018682615408231	0.00518247746833	0.05072369977875	0.154952952290593	3.88287401997E-4	2018.0	0.0	0.0	0.0	0.0	419.161188726671	582.216560329829	456.202119604582	619.25749120774	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR225"	0.310628297034438	"TOR"	24.0	6.1	1.0					0.0	1156.92298395432	1235.09350798018	0.0	0.0	3.93617806551092	3.93617806551092	0.229568481155308	42.94615341404	191.175839176761	173.793726718305		0.015236794262548		0.026058393430957	0.187790626634083	4.82665707632E-4	2018.0	0.0	0.384989472838798	0.0	0.384989472838798	147.444796715496	223.751116233562	156.755230295312	233.061549813378	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR1108"	0.196512186883838	"TOR"	26.0	6.1	2.0			2.0	0.467	4.0	2260.86270402434	2190.69604304671	0.0	1.47880933188958	2.80301975734413	4.28182908923372	0.26005685243241	83.0991404064818	598.91316069007	455.860915542171		0.031284995155375	4.92488807535E-4	3.1752506406E-5	0.22824761468907		2018.0	0.146414572877674	0.0	0.0	0.146414572877674	375.233633761549	513.28777127956	398.878365038887	536.932502556898	0.0		0.0	0.0	0.0	0.0	2.0	1.0	0.0
"TOR1102"	0.42580917724154	"TOR"	86.0	9.8	2.0	3.367	38.45	3.0	0.343	7.0	4336.38038509936	3328.00292093344	0.0	1.24525959766112	7.51159388497671	8.75685348263784	0.340987726595036	145.033026342112	1006.7247069944	1646.93082606818		0.025494197780384	0.009030240189772	0.002314938502123	0.253309971477471	0.050838367708986	2018.0	0.913283831409158	0.0	0.173704195024068	1.08698802643322	320.540775517724	419.982706269405	340.970400613963	440.412331365644	0.0	0.53988865009	0.0	0.0	1.0	0.0	2.0	1.0	0.0
"TOR1081"	0.445134440567878	"TOR"	14.0	4.7	1.0					1.0	1332.22575290073	1281.50874911944	0.0	1.26201383610248	1.68613664168569	2.94815047778817	0.264456663159713	128.149567813806	255.837506792711	194.35652716724		0.029052161607108	3.42509626863E-4	0.061298432142452	0.173763564153675		2018.0	0.0	0.708080419092413	0.0	0.708080419092413	185.103490842418	258.861384849789	195.329493898842	269.087387906212	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR1077"	0.255405734739609	"TOR"	37.0	6.7	1.0	0.169	3.08	2.0	0.364	3.0	2059.37660833951	1894.59518033661	0.0	1.22555492500638	4.26927213616358	5.49482706116997	0.300728707136298	29.8919163314931	515.458343177998	473.669049077428		0.011808236019594	0.007933817053561	0.005638569130812	0.267496981517775	0.007851075237655	2018.0	0.0	0.0	0.275348640173933	0.275348640173933	208.387349976271	326.675809973313	224.906840935746	343.195300932788	0.0	0.32709381301	0.0	0.0	0.0	0.0	2.0	0.0	0.0
"TOR1069"	0.210453042978112	"TOR"	24.0	5.7	1.0			1.0	0.239	3.0	3197.32356566293	3075.34365115621	0.0	1.12923334502764	3.04734743658866	4.17658078161631	0.309688971992147	442.939512838945	615.051647172449	896.245845056987		0.023614751731067	0.001312615107539	0.007457493722971	0.277259745306845	4.4365793553E-5	2018.0	0.0	0.0	0.561111352379633	0.561111352379633	475.693603488285	688.128420230724	515.568304730715	728.003121473155	0.0	0.19591483735	0.0	0.0	0.0	0.0	1.0	2.0	0.0
"TOR273"	0.4541432746541	"TOR"	37.0	7.6	2.0	0.673	13.9	1.0	0.207	3.0	1213.15633363216	1175.83662314052	0.0	1.95088151993533	2.89116075644507	4.84204227638041	0.307583452153773	33.5252531470158	396.9089309718	301.58559223337		0.073329649195153	0.016098469692839	0.011214537510321	0.206940790872578		2018.0	0.0	0.051518845864506	0.0	0.051518845864506	125.366013327632	218.2111351076	134.023548211074	226.868669991041	0.0	0.17664920713	0.0	0.0	0.0	0.0	0.0	1.0	2.0
"TOR276"	0.23178210727841	"TOR"	17.0	4.8	2.0	0.48	13.6099999999999			2.0	1581.93794942843	1614.13685990918	0.0	1.74504019513634	1.78109257740692	3.52613277254326	0.31069591402261	75.1136909019811	10.6876571664386	366.812414758054	0.034503930839579		0.010574447709024	0.016823053000328	0.248794480838145		2018.0	0.0	0.0	0.826898722273469	0.826898722273469	192.715258718499	293.890911804078	204.090145814581	305.26579890016	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR278"	0.112068775254259	"TOR"	11.0	5.1	3.0	0.075	3.48	1.0	0.464	1.0	1979.36657667598	1981.45005606488	0.0	0.270970717244982	1.88196177325478	2.15293249049976	0.19257140228338	195.331118346332	142.518349436355	542.306010993298			1.97327697958E-4	0.010376915723154	0.181997154876541		2018.0	0.0	0.0	0.0	0.0	214.631732712489	320.352737717626	231.054023647258	336.775028652395	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0
"TOR1013"	0.543078766801029	"TOR"	6.0	3.5	1.0					1.0	538.953713187217	496.120380753219	0.0	0.498578565065206	1.21969985719704	1.71827842226224	0.144247558768883	54.5272462236309	45.0280834008783	90.1874635458331		0.029751046825839		0.061948362084754	0.052548146722163		2018.0	0.09076907469419	0.020911972353517	0.0	0.111681047047707	44.5977149630236	73.5823393038461	48.6759704391124	77.6605947799349	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR100"	0.462491403934178	"TOR"	10.0	4.1	1.0	0.738	30.4699999999999	1.0	0.413	3.0	3166.73946092395	3074.81055300561	0.0	1.791700819581	0.630443239295083	2.42214405887608	0.23899968957721	501.739684393137	189.916465372194	981.454338561774	0.048758015732351	0.058758953250147	0.005229298786086	0.00885061495837	0.117402812553507		2018.0	0.0	0.0	0.0	0.0	656.886906465638	880.71918390048	704.352498514961	928.184775949804	0.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0
"SUR98"	0.188873174275742	"SUR"	25.0	5.8	1.0					2.0	1464.3900044915	1295.82783051681	0.0	1.80071922554877	2.5031030774526	4.30382230300138	0.282565919843131	125.23357419955	84.0595625044848	446.030197137352		0.033825128618066	2.8361997387E-5		0.248712444626458		2019.0	0.0	0.0	1.29151088438059	1.29151088438059	185.254196369084	265.634153666132	200.512573824338	280.892531121386	0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR97"	0.015862024935794	"SUR"	21.0	5.9	1.0					1.0	1723.63682192114	1681.13663989375	0.0	0.755792816642254	2.80264492661459	3.55843774325684	0.277657160584335	123.287642062367	17.8821061027343	336.412549637893			0.001344422578306		0.276312732896377		2019.0	0.0	0.738070420326057	0.529230888243013	1.26730130856907	278.591233081347	388.424482837768	307.860476580809	417.69372633723	1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR96"	0.495688343855268	"SUR"	26.0	5.4	1.0					2.0	1901.19032139564	1854.99881817162	0.0	1.90786990456363	2.90501535048287	4.81288525504651	0.357947258670839	236.81336849235	14.8282586260825	458.075116741898		0.041011530814556	0.003690171047622	0.050832709622796	0.246937451510088	0.015475374133499	2019.0	0.0	0.0	0.622035831403137	0.622035831403137	294.368479691014	427.643510435532	314.105263295193	447.380294039711	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR95"	0.011271719330957	"SUR"	26.0	5.9	1.0					1.0	854.318183620028	874.429854754292	0.0	0.464344086462264	3.92822176134529	4.39256584780755	0.295165068864255	36.9126269304662	14.4506654402996	21.9812687937448			9.51873558255E-4		0.29421319429269		2019.0	0.72456258089948	0.0	0.027986166302358	0.752548747201838	100.373734491464	164.713537361101	106.636156874977	170.975959744614	0.0	0.25469884473	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR92"	0.284455320015605	"SUR"	22.0	5.3	1.0					1.0	1621.71827410511	1637.47639786462	0.0	0.913418229802067	3.2242292928596	4.13764752266167	0.326679577088057	87.9579298582973	13.0769552108587	377.735724981955	0.01503036292425		0.070058369196876		0.241590849521425		2019.0	0.0	0.32585438866953	0.430970127134187	0.756824515803717	235.071216088332	366.252558824661	246.958441649313	378.139784385642	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
