Schoolid	City	CHASEYEAR	SUMIntersection	NbrTrafSignals	NbrCrossingGuard	NbrSchools	ShapeAreakm	Highwaykm	MinorRoadkm	MajorRoadkm	roadcovkm	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	ISPH1116	OPDbPC60Less	Pop2016	Pop2011	STDMulti	SUMOneway	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"CAL100"	"CAL"	2018.0	148.0	10.0	0.0	4.0	2.266420271	1.55841335	26.23143704	6.679451774	34.46930216	0.203689357	0.068367866	0.101797502	0.26579981	1.546593639	0.080172106	811.0594557	75.60892142	8969.90693	8569.167209	635.9928784	2.242448053	0.0	2.363545284	0.0	2.363545284	1356.525964	1862.688133	1476.725627	1982.887796	0.0		0.0	0.0	0.0	0.0	4.0	4.0	0.0
"CAL103"	"CAL"	2018.0	148.0	10.0	0.0	4.0	2.266420271	1.55841335	26.23143704	6.679451774	34.46930216	0.203689357	0.068367866	0.101797502	0.26579981	1.546593639	0.080172106	811.0594557	75.60892142	8969.90693	8569.167209	635.9928784	2.242448053	0.0	2.363545284	0.0	2.363545284	1356.525964	1862.688133	1476.725627	1982.887796	0.0		0.0	0.0	0.0	0.0	4.0	4.0	0.0
"CAL104"	"CAL"	2018.0	105.0	10.0	0.0	4.0	1.779998867		18.9810483	3.506593571		0.232831096	0.044003991	0.071666533	0.175552001	1.255945221		915.7951056	166.2678463	6877.068868	6424.230527	712.2508263	0.795971766	0.0	0.278720069	0.76574091	1.044460979	901.876661	1217.371453	1000.9965	1316.491292	0.0		0.0	0.0	0.0	0.0	1.0	3.0	0.0
"CAL107"	"CAL"	2018.0	140.0	7.0	0.0	5.0	2.406904122	1.56026363	26.5992515	6.621709095	34.78122422	0.094197311	0.049172999	0.172424575	0.32916687	1.761941195		683.5105592	95.34250456	10229.60339	9745.316254	944.8080907	1.975855255	0.0	2.554389454	0.0	2.554389454	1551.869856	2081.553205	1711.59788	2241.281229	0.0		0.0	0.0	0.0	0.0	3.0	2.0	0.0
"CAL109"	"CAL"	2018.0	140.0	7.0	0.0	5.0	2.406904122	1.56026363	26.5992515	6.621709095	34.78122422	0.094197311	0.049172999	0.172424575	0.32916687	1.761941195		683.5105592	95.34250456	10229.60339	9745.316254	944.8080907	1.975855255	0.0	2.554389454	0.0	2.554389454	1551.869856	2081.553205	1711.59788	2241.281229	0.0		0.0	0.0	0.0	0.0	3.0	2.0	0.0
"CAL113"	"CAL"	2018.0	133.0	5.0	0.0	4.0	2.188132962		28.11168579	2.98308504			0.07429108	0.046621374	0.10330385	1.776496187	0.187420474	123.5737646	238.3568252	5220.037276	5163.20647	289.9571611	1.006420538	0.0	1.259224014	1.552178631	2.811402645	686.5457328	985.6323829	744.7166105	1043.803261	0.0		0.0	0.0	0.0	0.0	5.0	3.0	0.0
"CAL122"	"CAL"	2018.0	171.0	4.0	0.0	6.0	2.450697455		32.87351897	0.664371156			0.234058045	0.020186273	0.447373172	1.726233562		313.3949982	981.5643463	8768.658201	7748.05203	1107.997459	0.664371156	0.0	2.222727715	1.647527417	3.870255132	1522.507439	1953.624479	1658.395524	2089.512564	0.0	0.097510523	0.0	0.0	0.0	0.0	7.0	2.0	0.0
"CAL124"	"CAL"	2018.0	219.0	17.0	0.0	1.0	2.724003355		46.2738857	1.33513242			0.21070413	0.061476042	0.11871306	2.333110121		632.8885522	1713.031195	12347.61394	10965.91834	3592.838079	1.33513242	0.0	1.258975964	2.355118861	3.614094826	1290.554218	1600.236909	1484.98178	1794.664471	0.0	0.551567916	0.0	0.0	0.0	0.0	5.0	8.0	0.0
"CAL127"	"CAL"	2018.0	365.0	5.0	0.0	4.0	7.124124328		61.32135789	13.45443612			0.029731475	0.292999172	2.796647769	3.895797941	0.003610928	637.2494521	44.74061945	15469.86906	15703.72681	326.0207225	2.848589737	0.0	8.304519559	0.0	8.304519559	2097.755564	2939.12501	2220.919966	3062.289411	0.0		0.0	0.0	0.0	0.0	6.0	3.0	0.0
"CAL13"	"CAL"	2018.0	117.0	9.0	0.0	2.0	1.723942319		21.20939945	5.179596211			0.020667253	0.122057895	0.142580136	1.368692853	0.069944181	243.7138253	20.96871344	4297.818557	4274.454597	255.5471696	2.657245042	0.0	1.644803956	0.0	1.644803956	512.4337717	745.0324183	553.5983757	786.1970223	0.0		0.0	0.0	0.0	0.0	4.0	2.0	0.0
