"","predicted","adjacentschool","parkinglotc","parkinglotb","altparking","bikeracks","segments","Walkscore","LICOATda","SamplingQuadrant","sidewalkboth","sidewalkbothperc","sidewalkone","sidewalkoneperc","parkingsignboth","parkingsignbothperc","parkingsignone","parkingsignoneperc","mountableboth","mountablebothperc","mountableone","mountableoneperc","speedlimitsign","speedlimitsignperc","speedlimit40","speedlimit40perc","speedlimit30","speedlimit30perc","marking","markingperc","obstructions","obstructionsperc","dropoffc","dropoffcperc","dropoffb","dropoffbperc","publicspaces","publicspacesperc","graffiti","graffitiperc","garbage","garbageperc","entrance","entranceperc","device","deviceperc","bikeinfra","bikeinfraperc","enrolment","DanBehaCongestion","DanBehaAdultCrossG","DanBehaChildCrossG","DanBehaDrivDoublePark","DanBehaDrivDropOffOppSide","DanBehaDrivBlockView","DanBehaDrivParkBlock","DanBehaDrivNotFollControls","DanBehaDrivBackUp","DanBehaDrivTexting","DanBehaDrivPhone","DanBehaDrivUTurn","DanBehaTruck","DanBehaPedNotFolControlsA","DanBehaPedNotFolControlsC","DanBehaPedNotFolCrossGA","DanBehaPedNotFolCrossGC","DanBehaPedJayWalkA","DanBehaPedJayWalkC","DanBehaPedDeviceA","DanBehaPedDeviceC","DanBehaPedBetParkCarsA","DanBehaPedBetParkCarsC","ActLivClassEnv","CHASEYEAR","City","SUMIntersection","NbrTrafSignals","NbrCrossingGuard","NbrSchools","ShapeAreakm","Highwaykm","MinorRoadkm","MajorRoadkm","roadcovkm","SumComkm","SumGouvkm","SumOpenAreakm","SumParkkm","SumReskm","SumIndkm","ISPH1116","OPDbPC60Less","Pop2016","Pop2011","STDMulti","SUMOneway","BikeClass01","BikeClass02","BikeClass03","BikeClassAll","AG112","AG117","AG012","AG017","NbrRaisedCrosswalk","SpeedHumpkm","NbrTrafficCircles","NbrMidBlockNarrowings","NbrCurbExtension","NbrDiverter","NbrCrosswalk","NbrFlashingCrosswalk","NbrSpeedActivatedSign","active_t_prop","city","pop_den","child_den","road_den","multihome_den","immigrant_den","density_intersections","proportion_industrial_area","density_pre_1960_houses","proportion_government_area","proportion_commercial_area","density_major_roads","density_bicycle_class","density_curb_extensions","myid","active_t"
"1",0.480497721984227,1,1,0,1,1,5,48,0.103,2,0,0.8,1,1,0,0,1,0.6,0,0.4,0,0.4,0,0.4,0,0,0,0,1,0.6,0,0,0,0,1,0.2,1,0.6,0,0,1,0.6,0,0.2,0,0.2,1,0.6,232,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,3,2018,"CAL",148,10,0,4,2.266420271,1.55841335,26.23143704,6.679451774,34.46930216,0.203689357,0.068367866,0.101797502,0.26579981,1.546593639,0.080172106,811.0594557,75.60892142,8969.90693,8569.167209,635.9928784,2.242448053,0,2.363545284,0,2.363545284,1356.525964,1862.688133,1476.725627,1982.887796,0,NA,0,0,0,0,4,4,0,0.565217391304348,"Calgary",3957.74210316353,874.898544357398,15.2086983164827,280.615597441416,357.8592488242,65.3012161485384,0.0353738920472266,33.3605035162519,0.0301655729410832,0.0898727211392825,2.94713732464671,1.0428539288334,0,"CAL100",65
"4",0.480497721984227,1,1,0,0,1,12,46,0.329,2,0,0.833333333333333,1,1,0,0.25,1,0.666666666666667,1,0.666666666666667,0,0.833333333333333,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,1,0.25,1,0.25,0,0.0833333333333333,1,0.666666666666667,0,0.0833333333333333,0,0.0833333333333333,1,0.0833333333333333,293,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,3,2018,"CAL",140,7,0,5,2.406904122,1.56026363,26.5992515,6.621709095,34.78122422,0.094197311,0.049172999,0.172424575,0.32916687,1.761941195,NA,683.5105592,95.34250456,10229.60339,9745.316254,944.8080907,1.975855255,0,2.554389454,0,2.554389454,1551.869856,2081.553205,1711.59788,2241.281229,0,NA,0,0,0,0,3,2,0,0.463235294117647,"Calgary",4250.10838466627,931.188412747253,14.4506064458848,392.540808777592,283.979138575758,58.166006165492,NA,39.6120907719315,0.0204299783072124,0.039136295517134,2.75113122889903,1.06127594807451,0,"CAL103",40
"15",0.480497721984227,0,1,0,1,1,4,60,0.092,4,1,1,1,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0.25,1,0.25,1,0.25,0,0,1,0.5,0,0,0,0,179,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2018,"CAL",143,10,0,2,2.106575996,3.047584182,22.9110643,4.513306048,30.47195453,NA,0.031210432,0.15419685,0.304628386,1.433884278,0.022896662,120.1717322,580.3490901,4164.815539,3597.363515,449.2768864,1.600582011,0.525923196,5.487172012,1.273275554,7.286370761,422.3465599,549.4198149,492.8810002,619.9542551,0,NA,0,0,0,0,5,6,0,0.380952380952381,"Calgary",1977.05449359919,294.294749525856,14.465157956732,213.273524075606,57.0459990183995,67.8826684969024,0.0108691364771442,275.494020249911,0.0148157161475602,NA,2.14248432364649,3.45886916723416,0,"CAL104",46
"18",0.480497721984227,1,1,0,1,1,2,53,0.052,3,1,1,1,1,1,1,1,1,1,0.5,0,0.5,0,0,0,0,0,0,1,1,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,400,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2018,"CAL",104,7,0,3,1.150999209,2.594696771,14.23090688,2.35100163,19.17660528,NA,0.102710569,0.059869438,0.137795138,0.713047681,0.137576387,346.7015772,131.3462828,2853.847395,2615.046714,820.5521259,2.35100163,0,0.429289635,0,0.429289635,270.1723661,348.7051117,297.4817977,376.0145433,0,NA,0,0,0,0,2,2,0,0.240963855421687,"Calgary",2479.45209057046,326.685318599554,16.6608327182612,712.904161431096,301.217910915176,90.3562740849807,0.119527785878782,114.115007006925,0.0892360031152723,NA,2.04257449667804,0.37297126847982,0,"CAL107",63
"29",0.480497721984227,0,1,0,0,1,7,27,0.033,1,0,0.285714285714286,0,0.714285714285714,0,0,0,0.142857142857143,0,0.142857142857143,0,0.714285714285714,0,0,0,0,0,0,0,0.285714285714286,1,0.285714285714286,0,0,1,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.285714285714286,0,0.142857142857143,1,0.142857142857143,374,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,2,2018,"CAL",101,3,0,2,1.830749494,2.138382534,18.44260659,2.65946267,23.2404518,NA,NA,0.243288539,0.655953763,0.844293963,NA,127.5081446,0,5251.257983,5411.748248,1.892257697,1.839000686,0,2.568000837,0,2.568000837,701.9564174,1110.956135,745.2371407,1154.236858,0,0.246762809,0,0,0,0,2,2,0,0.428571428571429,"Calgary",2868.36511505817,630.47230753461,12.6945012827626,1.03359727980348,69.6480567209705,55.168661977519,NA,0,NA,NA,1.45266333745604,1.40270465479643,0,"CAL109",34
"31",0.480497721984227,0,1,0,0,1,4,28,0.034,1,1,1,1,1,0,0.333333333333333,0,0.333333333333333,1,0.666666666666667,1,1,0,0,0,0,0,0,1,0.666666666666667,0,0,1,0.333333333333333,1,0.333333333333333,1,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,201,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,2018,"CAL",108,4,0,3,1.790305012,NA,21.50773606,3.332719862,NA,NA,0.047999264,0.050542059,0.286486528,1.314429178,NA,29.39663695,7.871879945,4169.124129,4155.551196,1.954875631,0.306757899,0,0.257830594,0,0.257830594,598.0198397,857.5221718,617.2458903,876.7482224,0,NA,0,0,0,0,2,0,0,0.365853658536585,"Calgary",2328.72281597567,489.720029002522,NA,1.09192322978315,16.4199042917051,60.3249162997931,NA,4.39694906300134,0.0268106628078858,NA,1.86153746968341,0.144014898171999,0,"CAL113",93
"32",0.480497721984227,0,1,0,0,1,4,49,0.072,3,0,0.5,1,1,0,0.25,1,0.5,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0.25,1,0.75,0,0,0,0,1,0.5,1,0.5,1,0.25,379,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,2018,"CAL",127,4,0,5,2.235574295,NA,30.55187035,3.80858585,NA,NA,0.090113151,0.04226127,0.197734525,1.896538444,0.008926909,260.9470422,1542.119222,5823.339813,5385.247085,560.4876338,0.122178932,1.537398522,0.36235698,1.717888918,3.617644419,803.6760266,1047.343525,859.2908365,1102.958335,0,0.002744704,0,0,0,0,6,1,0,0.514285714285714,"Calgary",2604.85183875314,493.366888976508,NA,250.71304275307,116.724835664654,56.8086689330985,0.00399311667698344,689.808979039097,0.0403087256824985,NA,1.70362750122782,1.61821704028852,0,"CAL122",163
"46",0.480497721984227,1,1,0,1,1,10,46,0.061,1,0,0.6,0,0.9,1,0.5,1,0.8,1,0.8,0,0.9,0,0.1,0,0,0,0,1,0.5,0,0,0,0,1,0.3,1,0.7,0,0.1,0,0.1,0,0.1,0,0.1,1,0.2,382,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,3,2018,"CAL",233,17,0,3,2.53441497,NA,33.05230149,8.155751868,NA,0.004264023,NA,0.125602388,0.272721222,2.131826515,8.0804e-07,759.0884175,29.94701515,9666.607715,9442.584266,111.8230196,2.413314943,0,6.255894554,0,6.255894554,1159.121654,1815.97783,1264.137389,1920.993565,0,NA,0,0,0,0,2,4,0,0.454545454545455,"Calgary",3814.1377120259,757.963312140632,NA,44.1218272949201,299.512284485914,91.9344317162079,3.18827030918303e-07,11.8161451476906,NA,0.00168244863231691,3.21800177340335,2.46837815750433,0,"CAL124",29
"50",0.480497721984227,1,1,0,0,1,10,67,0.035,3,0,0.6,0,0.8,0,0,1,0.6,0,0.4,0,0.8,0,0,0,0,0,0,0,0.2,0,0,1,0.2,1,0.1,0,0.2,0,0,0,0,0,0.3,0,0.1,1,0.1,505,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2018,"CAL",191,6,0,3,2.868283277,NA,24.68379526,6.961272491,NA,NA,NA,0.531319951,0.020093537,2.316869813,NA,365.8960107,0.013396632,6690.995965,4983.979459,225.3292381,0.875116405,0,5.893352784,0,5.893352784,1594.471183,2053.968138,1705.406472,2164.903427,0,NA,0,0,0,0,4,0,0,0.689024390243902,"Calgary",2332.75284162248,754.773227721189,NA,78.5589205595051,127.566204368314,66.5903544226535,NA,0.00467060980602022,NA,NA,2.42698221156208,2.05466204515336,0,"CAL127",27
"52",0.480497721984227,0,1,0,1,1,4,57,0.071,3,1,1,1,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0.25,0,0,0,0,1,0.25,0,0.25,0,0,0,0,223,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2018,"CAL",38,3,0,1,0.720478115,NA,8.198230025,0.000784733,NA,NA,0.005150478,0.009322674,0.211670729,0.494334251,NA,39.79360862,445.3444818,1917.297925,1881.117958,297.4895057,0.000784733,0,2.494828725,0.833317116,3.328145841,212.028546,256.9529631,227.6362637,272.5606808,0,0.41079031,0,0,0,0,1,2,0,0.37037037037037,"Calgary",2661.14665398268,378.305288010032,NA,412.90567958473,55.2322239794889,52.7427540252212,NA,618.123538422815,0.0071486945859556,NA,0.00108918367353879,4.61935730136647,0,"CAL13",40
